"Please enter a valid ZIP code.","Por favor, insira um CEP válido."
"Manage Freights","Gerenciar Fretes"
"Freights Manager","Gerenciador de Fretes"
"Add New Item","Adicionar Novo Item"
"Reset Filter","Desfazer Filtro"
"Search","Pesquisar"
"Carrier Name","Nome da Transportadora"
"Begin ZIP Code","Início do CEP"
"End ZIP Code","Fim do CEP"
"Begin Package Weight","Início do Peso"
"End Package Weight","Fim do Peso"
"Delivery Time","Tempo para Entrega"
"Delivery Type","Tipo de Entrega"
"Delivery Price","Preço para Entrega"
"Item Information","Informações do Frete"
"Add Item","Adicionar Item"
"Back","Voltar"
"Reset","Desfazer"
"Save Item","Salvar Item"
"Save And Continue Edit","Salvar e Continuar Editando"
"This is a required field.","Este campo é requerido."
"freights was successfully saved","Frete salvo com sucesso."
"Delete Item","Excluir Item"
"Are you sure you want to do this?","Tem certeza que deseja fazer isso?"
"Item was successfully deleted","Frete excluído com sucesso."
"Edit Item '%s'","Editar Item '%s'"
"Freight","Fretes"
"Enabled","Ativo"
"Title","Título"
"Method Name","Nome do Método"
"Description","Descrição"
"Sort Order","Ordem"
"Import CSV","Importar CSV"
"Export CSV","Exportar CSV"
"Gamuza Freights Section","Seção de Fretes Gamuza"
"Delivered within %d day%s","Entregue até %d dia%s"
"Export PAC to CSV","Exportar PAC para CSV"
"Export e-Sedex to CSV","Exportar e-Sedex para CSV"
"Export Sedex to CSV","Exportar Sedex para CSV"
"Export Express Delivery to CSV","Exportar Entrega Expressa para CSV"
"Hour","Hora"
"Minute","Minuto"

